results/alternatives/0/confidence,results/alternatives/0/transcript,results/alternatives/0/words/0/confidence,reult/alternative/0/word/0/endTime,reult/alternative/0/word/0/tartTime,results/alternatives/0/words/0/word,results/channelTag,results/languageCode,reult/reultEndTime,seconds,arousal,valence,cheerful,happy,angry,nervous,sad,boredom,confusion,delight,concentration,frustration,surprise,none_1,confrustion,contempt,dejection,disgust,eureka,pride,sorrow,none_2
0.76509905,,0.7288574,13.5,13.0,Allah,2.0,en-us,25.888572,115.0,2.0,3.0,1.0,1.0,1.0,1.0,1.0,,,,x,,,,,,,,,,,x
0.76509905,,0.91283858,15.3,15.0,first,2.0,en-us,25.888572,120.0,2.0,3.0,1.0,1.0,1.0,1.0,1.0,,,,x,,,,,,,,,,,x
0.76509905,,0.79418397,15.4,15.3,of,2.0,en-us,25.888572,125.0,2.0,4.0,1.0,1.0,1.0,1.0,1.0,,,,x,,,,,,,,,,,x
0.76509905,,0.79418397,15.5,15.4,all,2.0,en-us,25.888572,130.0,2.0,4.0,1.0,1.0,1.0,1.0,1.0,,,,x,,,,,,,,,,,x
0.76509905,,0.3567681,15.6,15.5,I,2.0,en-us,25.888572,135.0,2.0,4.0,1.0,1.0,1.0,1.0,1.0,,,,x,,,,,,,,,,,x
0.76509905,,0.91283858,15.8,15.6,want,2.0,en-us,25.888572,140.0,2.0,4.0,1.0,1.0,1.0,1.0,1.0,,,,x,,,,,,,,,,,x
0.76509905,,0.59167302,15.9,15.8,to,2.0,en-us,25.888572,145.0,2.0,4.0,1.0,1.0,1.0,1.0,1.0,,,,x,,,,,,,,,,,x
0.76509905,,0.67254418,16.4,15.9,mention,2.0,en-us,25.888572,150.0,2.0,4.0,1.0,1.0,1.0,1.0,1.0,,,,x,,,,,,,,,,,x
0.76509905,,0.3727203,17.0,16.4,that,2.0,en-us,25.888572,155.0,3.0,4.0,2.0,1.0,1.0,1.0,1.0,,,,,,x,,,,,,,,,x
0.76509905,,0.471558,17.5,17.0,the,2.0,en-us,25.888572,160.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,,,,x,,,,,,,,,,,x
0.76509905,,0.65572172,18.0,17.6,current,2.0,en-us,25.888572,165.0,3.0,4.0,1.0,1.0,1.0,1.0,1.0,,,,x,,,,,,,,,,,x
0.76509905,,0.44213441,18.7,18.0,movement,2.0,en-us,25.888572,170.0,3.0,4.0,1.0,1.0,1.0,1.0,1.0,,,,x,,,,,,,,,,,x
0.76509905,,0.57105398,19.1,18.7,in,2.0,en-us,25.888572,175.0,3.0,4.0,1.0,1.0,1.0,1.0,1.0,,,,x,,,,,,,,,,,x
0.76509905,,0.66746658,19.4,19.1,South,2.0,en-us,25.888572,180.0,3.0,4.0,1.0,1.0,1.0,1.0,1.0,,,,x,,,,,,,,,,,x
0.76509905,,0.72834557,20.0,19.4,Korea,2.0,en-us,25.888572,185.0,3.0,4.0,1.0,1.0,1.0,1.0,1.0,,,,x,,,,,,,,,,,x
0.76509905,,0.91283858,20.6,20.0,against,2.0,en-us,25.888572,190.0,3.0,4.0,1.0,1.0,1.0,1.0,1.0,,,,x,,,,,,,,,,,x
0.76509905,,0.91283858,21.4,21.0,against,2.0,en-us,25.888572,195.0,3.0,4.0,1.0,1.0,1.0,1.0,1.0,,,,x,,,,,,,,,,,x
0.76509905,,0.72834557,21.6,21.4,this,2.0,en-us,25.888572,200.0,3.0,4.0,1.0,1.0,1.0,1.0,1.0,,,,x,,,,,,,,,,,x
0.76509905,,0.91283858,21.7,21.6,year,2.0,en-us,25.888572,205.0,3.0,4.0,1.0,1.0,1.0,1.0,1.0,,,,x,,,,,,,,,,,x
0.76509905,,0.6674667,22.0,21.7,many,2.0,en-us,25.888572,210.0,3.0,4.0,1.0,1.0,1.0,1.0,1.0,,,,x,,,,,,,,,,,x
0.76509905,,0.91283858,22.6,22.0,refugees,2.0,en-us,25.888572,215.0,3.0,4.0,1.0,1.0,1.0,1.0,1.0,,,,x,,,,,,,,,,,x
0.76509905,,0.63050032,23.0,22.6,are,2.0,en-us,25.888572,220.0,3.0,4.0,1.0,1.0,1.0,1.0,1.0,,,,x,,,,,,,,,,,x
0.76509905,,0.91283858,23.5,23.4,pretty,2.0,en-us,25.888572,225.0,3.0,4.0,1.0,1.0,1.0,1.0,1.0,,,,x,,,,,,,,,,,x
0.76509905,,0.48066103,23.9,23.5,much,2.0,en-us,25.888572,230.0,3.0,4.0,1.0,1.0,1.0,1.0,1.0,,,,x,,,,,,,,,,,x
0.76509905,,0.68406767,24.3,23.9,standard,2.0,en-us,25.888572,235.0,3.0,4.0,1.0,1.0,1.0,1.0,1.0,,,,x,,,,,,,,,,,x
0.76509905,,0.86027837,24.8,24.3,phobic,2.0,en-us,25.888572,240.0,3.0,4.0,1.0,1.0,1.0,1.0,1.0,,,,x,,,,,,,,,,,x
0.76509905,,0.72966063,25.6,24.8,activity,2.0,en-us,25.888572,245.0,3.0,4.0,1.0,1.0,1.0,1.0,1.0,,,,x,,,,,,,,,,,x
0.74276662,Aurora I first want to state for this accepting this refugees arrived in this is Bachelor you many refugees has arrived in Jeju Island first of all I want to mention that the current movement in South Korea against against this year many refugees are pretty much standard phobic activity,0.91283858,2.8,2.0,Aurora,2.0,en-us,25.938685,250.0,3.0,3.0,2.0,1.0,1.0,1.0,1.0,,,,,,,x,,,,,,,,x
0.74276662,,0.91283858,2.9,2.8,I,2.0,en-us,25.938685,255.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,,,,x,,,,,,,,,,,x
0.74276662,,0.91283858,3.3,2.9,first,2.0,en-us,25.938685,260.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,,,,x,,,,,,,,,,,x
0.74276662,,0.91283858,3.4,3.3,want,2.0,en-us,25.938685,265.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,,,,x,,,,,,,,,,,x
0.74276662,,0.91283858,3.5,3.4,to,2.0,en-us,25.938685,270.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,,,,x,,,,,,,,,,,x
0.74276662,,0.8287378,4.1,3.5,state,2.0,en-us,25.938685,275.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,,,,x,,,,,,,,,,,x
0.74276662,,0.58345348,5.5,4.9,for,2.0,en-us,25.938685,280.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,,,,x,,,,,,,,,,,x
0.74276662,,0.66724509,6.1,5.5,this,2.0,en-us,25.938685,285.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,,,,x,,,,,,,,,,,x
0.74276662,,0.68017137,7.0,6.6,accepting,2.0,en-us,25.938685,290.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,,,,x,,,,,,,,,,,x
0.74276662,,0.67329288,7.2,7.0,this,2.0,en-us,25.938685,295.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,,,,x,,,,,,,,,,,x
0.74276662,,0.91283858,7.8,7.2,refugees,2.0,en-us,25.938685,300.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,,,,x,,,,,,,,,,,x
0.74276662,,0.76983267,8.3,7.8,arrived,2.0,en-us,25.938685,305.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,,,,x,,,,,,,,,,,x
0.74276662,,0.68790644,8.6,8.3,in,2.0,en-us,25.938685,310.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,,,,x,,,,,,,,,,,x
0.74276662,,0.62098026,9.0,8.6,this,2.0,en-us,25.938685,315.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,,,,x,,,,,,,,,,,x
0.74276662,,0.39923525,9.4,9.2,is,2.0,en-us,25.938685,320.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,,,,x,,,,,,,,,,,x
0.74276662,,0.72702229,9.8,9.4,Bachelor,2.0,en-us,25.938685,325.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,,,,x,,,,,,,,,,,x
0.74276662,,0.72892737,10.0,9.8,you,2.0,en-us,25.938685,330.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,,,,x,,,,,,,,,,,x
0.74276662,,0.85979027,10.4,10.0,many,2.0,en-us,25.938685,335.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,,,,x,,,,,,,,,,,x
0.74276662,,0.91283858,10.9,10.4,refugees,2.0,en-us,25.938685,340.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,,,,x,,,,,,,,,,,x
0.74276662,,0.76983267,11.1,10.9,has,2.0,en-us,25.938685,345.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,,,,x,,,,,,,,,,,x
0.74276662,,0.91283858,12.2,11.8,arrived,2.0,en-us,25.938685,350.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,,,,x,,,,,,,,,,,x
0.74276662,,0.71127188,12.6,12.2,in,2.0,en-us,25.938685,355.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,,,,x,,,,,,,,,,,x
0.74276662,,0.68056291,13.0,12.7,Jeju,2.0,en-us,25.938685,360.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,,,,x,,,,,,,,,,,x
0.74276662,,0.88277173,13.5,13.0,Island,2.0,en-us,25.938685,365.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,,,,x,,,,,,,,,,,x
0.74276662,,0.91283858,15.3,15.0,first,2.0,en-us,25.938685,370.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,,,,x,,,,,,,,,,,x
0.74276662,,0.72222316,15.4,15.3,of,2.0,en-us,25.938685,375.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,,,,x,,,,,,,,,,,x
0.74276662,,0.59734976,15.5,15.4,all,2.0,en-us,25.938685,380.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,,,,x,,,,,,,,,,,x
0.74276662,,0.73691344,15.6,15.5,I,2.0,en-us,25.938685,385.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,,,,x,,,,,,,,,,,x
0.74276662,,0.73724169,15.8,15.6,want,2.0,en-us,25.938685,390.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,,,,x,,,,,,,,,,,x
0.74276662,,0.57911682,15.8,15.8,to,2.0,en-us,25.938685,395.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,,,,x,,,,,,,,,,,x
0.74276662,,0.67879033,16.4,15.8,mention,2.0,en-us,25.938685,400.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,,,,x,,,,,,,,,,,x
0.74276662,,0.42966422,17.0,16.4,that,2.0,en-us,25.938685,405.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,,,,x,,,,,,,,,,,x
0.74276662,,0.51053888,17.6,17.0,the,2.0,en-us,25.938685,410.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,,,,x,,,,,,,,,,,x
0.74276662,,0.69727343,17.9,17.6,current,2.0,en-us,25.938685,415.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,,,,x,,,,,,,,,,,x
0.74276662,,0.48776606,18.7,17.9,movement,2.0,en-us,25.938685,420.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,,,,x,,,,,,,,,,,x
0.74276662,,0.69727343,19.1,18.7,in,2.0,en-us,25.938685,425.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,,,,x,,,,,,,,,,,x
0.74276662,,0.6618275,19.4,19.1,South,2.0,en-us,25.938685,430.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,,,,x,,,,,,,,,,,x
0.74276662,,0.76747411,20.0,19.4,Korea,2.0,en-us,25.938685,435.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,,,,x,,,,,,,,,,,x
0.74276662,,0.91283858,20.6,20.0,against,2.0,en-us,25.938685,440.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,,,,x,,,,,,,,,,,x
0.74276662,,0.91283858,21.4,21.0,against,2.0,en-us,25.938685,445.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,,,,x,,,,,,,,,,,x
0.74276662,,0.69727343,21.5,21.4,this,2.0,en-us,25.938685,450.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,,,,x,,,,,,,,,,,x
0.74276662,,0.91283858,21.7,21.5,year,2.0,en-us,25.938685,455.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,,,,x,,,,,,,,,,,x
0.74276662,,0.70602518,22.0,21.7,many,2.0,en-us,25.938685,460.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,,,,x,,,,,,,,,,,x
0.74276662,,0.86372989,22.6,22.0,refugees,2.0,en-us,25.938685,465.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,,,,x,,,,,,,,,,,x
0.74276662,,0.57817751,23.0,22.6,are,2.0,en-us,25.938685,470.0,3.0,4.0,1.0,2.0,1.0,1.0,1.0,,,,x,,,,,,,,,,,x
0.74276662,,0.91283858,23.5,23.4,pretty,2.0,en-us,25.938685,475.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,,,,x,,,,,,,,,,,x
0.74276662,,0.50008148,23.9,23.5,much,2.0,en-us,25.938685,480.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,,,,x,,,,,,,,,,,x
0.74276662,,0.69825494,24.3,23.9,standard,2.0,en-us,25.938685,485.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,,,,x,,,,,,,,,,,x
0.74276662,,0.91283858,24.8,24.3,phobic,2.0,en-us,25.938685,490.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,,,,x,,,,,,,,,,,x
0.74276662,,0.74057013,25.6,24.8,activity,2.0,en-us,25.938685,495.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,,,,x,,,,,,,,,,,x
0.80766225, because right now those refugees are arrived and those refugees arrived in Jeju Island and are under intense examination of whether they are really lawful refugees and their Korean law or not and of course since they well at least they're claiming that they are fleeing from those conflicts and persecution and we all know that Yemen has currently undergoing this Civil War and we,0.91283858,27.3,26.7,because,2.0,en-us,56.167076,500.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,,,,x,,,,,,,,,,,x
0.80766225,,0.91283858,29.2,28.9,right,2.0,en-us,56.167076,505.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,,,,x,,,,,,,,,,,x
0.80766225,,0.91283858,29.4,29.2,now,2.0,en-us,56.167076,510.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,,,,x,,,,,,,,,,,x
0.80766225,,0.91283858,29.7,29.4,those,2.0,en-us,56.167076,515.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,,,,x,,,,,,,,,,,x
0.80766225,,0.91283858,30.3,29.7,refugees,2.0,en-us,56.167076,520.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,,,,x,,,,,,,,,,,x
0.80766225,,0.91283858,30.8,30.3,are,2.0,en-us,56.167076,525.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,,,,x,,,,,,,,,,,x
0.80766225,,0.91283858,31.3,30.8,arrived,2.0,en-us,56.167076,530.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,,,,x,,,,,,,,,,,x
0.80766225,,0.91283858,31.7,31.3,and,2.0,en-us,56.167076,535.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,,,,x,,,,,,,,,,,x
0.80766225,,0.91283858,32.1,31.9,those,2.0,en-us,56.167076,540.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,,,,x,,,,,,,,,,,x
0.80766225,,0.91283858,32.6,32.1,refugees,2.0,en-us,56.167076,545.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,,,,x,,,,,,,,,,,x
0.80766225,,0.91283858,33.1,32.6,arrived,2.0,en-us,56.167076,550.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,,,,x,,,,,,,,,,,x
0.80766225,,0.91283858,33.2,33.1,in,2.0,en-us,56.167076,555.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,,,,x,,,,,,,,,,,x
0.80766225,,0.91283858,33.5,33.2,Jeju,2.0,en-us,56.167076,560.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,,,,x,,,,,,,,,,,x
0.80766225,,0.91283858,33.9,33.5,Island,2.0,en-us,56.167076,565.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,,,,x,,,,,,,,,,,x
0.80766225,,0.91283858,34.3,33.9,and,2.0,en-us,56.167076,570.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,,,,x,,,,,,,,,,,x
0.80766225,,0.91283858,34.7,34.3,are,2.0,en-us,56.167076,575.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,,,,x,,,,,,,,,,,x
0.80766225,,0.91283858,35.2,34.7,under,2.0,en-us,56.167076,580.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,,,,x,,,,,,,,,,,x
0.80766225,,0.59193724,35.6,35.2,intense,2.0,en-us,56.167076,585.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,,,,x,,,,,,,,,,,x
0.80766225,,0.91283858,36.4,35.6,examination,2.0,en-us,56.167076,590.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,,,,x,,,,,,,,,,,x
0.80766225,,0.68424654,36.5,36.4,of,2.0,en-us,56.167076,595.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,,,,x,,,,,,,,,,,x
0.80766225,,0.66133809,36.8,36.5,whether,2.0,en-us,56.167076,600.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,,,,x,,,,,,,,,,,x
0.80766225,,0.75447857,37.0,36.8,they,2.0,en-us,56.167076,605.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,,,,x,,,,,,,,,,,x
0.80766225,,0.59193724,37.1,37.0,are,2.0,en-us,56.167076,610.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,,,,x,,,,,,,,,,,x
0.80766225,,0.9077068,37.6,37.1,really,2.0,en-us,56.167076,615.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,,,,x,,,,,,,,,,,x
0.80766225,,0.91283858,38.1,37.6,lawful,2.0,en-us,56.167076,620.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,,,,x,,,,,,,,,,,x
0.80766225,,0.91283858,38.8,38.1,refugees,2.0,en-us,56.167076,625.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,,,,x,,,,,,,,,,,x
0.80766225,,0.91283858,38.9,38.8,and,2.0,en-us,56.167076,630.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,,,,x,,,,,,,,,,,x
0.80766225,,0.8074168,39.1,38.9,their,2.0,en-us,56.167076,635.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,,,,x,,,,,,,,,,,x
0.80766225,,0.80741698,39.5,39.1,Korean,2.0,en-us,56.167076,640.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,,,,x,,,,,,,,,,,x
0.80766225,,0.753187,39.7,39.5,law,2.0,en-us,56.167076,645.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,,,,x,,,,,,,,,,,x
0.80766225,,0.90382206,39.8,39.7,or,2.0,en-us,56.167076,650.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,,,,x,,,,,,,,,,,x
0.80766225,,0.68091685,40.4,39.8,not,2.0,en-us,56.167076,655.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,,,,x,,,,,,,,,,,x
0.80766225,,0.72271478,41.4,40.9,and,2.0,en-us,56.167076,660.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,,,,x,,,,,,,,,,,x
0.80766225,,0.87426722,42.7,42.5,of,2.0,en-us,56.167076,665.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,,,,x,,,,,,,,,,,x
0.80766225,,0.82510561,43.0,42.7,course,2.0,en-us,56.167076,670.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,,,,x,,,,,,,,,,,x
0.80766225,,0.69185406,43.4,43.0,since,2.0,en-us,56.167076,675.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,,,,x,,,,,,,,,,,x
0.80766225,,0.67553508,44.1,43.4,they,2.0,en-us,56.167076,680.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,,,,x,,,,,,,,,,,x
0.80766225,,0.70700872,45.1,44.6,well,2.0,en-us,56.167076,685.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,,,,x,,,,,,,,,,,x
0.80766225,,0.91283858,45.2,45.1,at,2.0,en-us,56.167076,690.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,,,,x,,,,,,,,,,,x
0.80766225,,0.72325635,45.5,45.2,least,2.0,en-us,56.167076,695.0,2.0,4.0,1.0,1.0,1.0,1.0,1.0,,,,x,,,,,,,,,,,x
0.80766225,,0.86687875,45.8,45.5,they're,2.0,en-us,56.167076,700.0,2.0,3.0,1.0,1.0,1.0,1.0,1.0,,,,x,,,,,,,,,,,x
0.80766225,,0.69340694,46.4,45.8,claiming,2.0,en-us,56.167076,705.0,2.0,3.0,1.0,1.0,1.0,1.0,1.0,,,,x,,,,,,,,,,,x
0.80766225,,0.66360909,46.6,46.4,that,2.0,en-us,56.167076,710.0,2.0,3.0,1.0,1.0,1.0,1.0,1.0,,,,x,,,,,,,,,,,x
0.80766225,,0.72138578,46.8,46.6,they,2.0,en-us,56.167076,715.0,2.0,3.0,1.0,1.0,1.0,1.0,1.0,,,,x,,,,,,,,,,,x
0.80766225,,0.61119252,47.0,46.8,are,2.0,en-us,56.167076,720.0,2.0,3.0,1.0,1.0,1.0,1.0,1.0,,,,x,,,,,,,,,,,x
0.80766225,,0.72151083,47.5,47.0,fleeing,2.0,en-us,56.167076,725.0,2.0,3.0,1.0,1.0,1.0,1.0,1.0,,,,x,,,,,,,,,,,x
0.80766225,,0.62686551,47.8,47.5,from,2.0,en-us,56.167076,730.0,2.0,3.0,1.0,1.0,1.0,1.0,1.0,,,,x,,,,,,,,,,,x
0.80766225,,0.91283858,48.1,47.8,those,2.0,en-us,56.167076,735.0,2.0,3.0,1.0,1.0,1.0,1.0,1.0,,,,x,,,,,,,,,,,x
0.80766225,,0.91114831,48.7,48.1,conflicts,2.0,en-us,56.167076,740.0,2.0,3.0,1.0,1.0,1.0,1.0,1.0,,,,x,,,,,,,,,,,x
0.80766225,,0.91283858,48.8,48.7,and,2.0,en-us,56.167076,745.0,2.0,3.0,1.0,1.0,1.0,1.0,1.0,,,,x,,,,,,,,,,,x
0.80766225,,0.91283858,49.5,48.8,persecution,2.0,en-us,56.167076,750.0,2.0,3.0,1.0,1.0,1.0,1.0,1.0,,,,x,,,,,,,,,,,x
0.80766225,,0.7533747,49.7,49.5,and,2.0,en-us,56.167076,755.0,2.0,3.0,1.0,1.0,1.0,1.0,1.0,,,,x,,,,,,,,,,,x
0.80766225,,0.7533747,49.8,49.7,we,2.0,en-us,56.167076,760.0,2.0,3.0,1.0,1.0,1.0,1.0,1.0,,,,x,,,,,,,,,,,x
0.80766225,,0.91283858,50.0,49.8,all,2.0,en-us,56.167076,765.0,2.0,3.0,1.0,1.0,1.0,1.0,1.0,,,,x,,,,,,,,,,,x
0.80766225,,0.91283858,50.2,50.0,know,2.0,en-us,56.167076,770.0,2.0,3.0,1.0,1.0,1.0,1.0,1.0,,,,x,,,,,,,,,,,x
0.80766225,,0.63453954,50.4,50.2,that,2.0,en-us,56.167076,775.0,2.0,3.0,1.0,1.0,1.0,1.0,1.0,,,,x,,,,,,,,,,,x
